epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.65523,2.8554,3.8746,2.5688,0.00301,0.67288,0.02853,0.00818,2.90511,3.6799,2.66838,0.00031673,0.00031673,0.00031673
2,3.79475,2.45901,3.40246,2.17946,0.09443,0.21014,0.05658,0.01699,2.78795,4.76633,2.5647,0.000643694,0.000643694,0.000643694
3,4.95865,2.27489,3.14447,2.06607,0.09626,0.24896,0.10915,0.03033,2.77832,5.06907,2.52827,0.000964056,0.000964056,0.000964056
4,6.10853,2.25734,3.04985,2.05738,0.49368,0.18368,0.15977,0.04893,2.79312,3.6887,2.50253,0.00127782,0.00127782,0.00127782
5,7.17519,2.17785,2.97757,2.01004,0.10707,0.20528,0.08455,0.02478,2.67379,4.75456,2.40249,0.00158498,0.00158498,0.00158498
6,8.20299,2.17046,2.91712,1.95759,0.1379,0.21532,0.11462,0.03807,2.6314,3.04114,2.44,0.00158448,0.00158448,0.00158448
7,9.22712,2.17975,2.83558,1.93067,0.15087,0.21273,0.11237,0.03868,2.45797,3.12537,2.33304,0.00156798,0.00156798,0.00156798
8,10.2476,2.05333,2.75498,1.84636,0.11531,0.20807,0.08834,0.02927,2.48188,3.0236,2.35637,0.00155148,0.00155148,0.00155148
9,11.254,2.08122,2.75992,1.89237,0.08603,0.11957,0.05119,0.01851,3.00373,3.18721,2.71543,0.00153497,0.00153497,0.00153497
10,12.2757,2.15392,2.76889,1.93739,0.15087,0.21612,0.10559,0.04555,2.54488,3.02622,2.33139,0.00151847,0.00151847,0.00151847
11,13.2819,2.0168,2.65892,1.8239,0.16832,0.25311,0.10876,0.04059,2.49851,3.242,2.32248,0.00150197,0.00150197,0.00150197
12,14.2929,2.04089,2.774,1.89486,0.12776,0.26242,0.08029,0.02646,2.4247,2.80656,2.3719,0.00148546,0.00148546,0.00148546
13,15.3189,2.02382,2.71921,1.89182,0.12356,0.22464,0.08584,0.03028,2.55686,2.92872,2.45631,0.00146896,0.00146896,0.00146896
