epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,16.3398,2.03826,2.65601,1.87245,0.25031,0.24379,0.1506,0.04706,2.52937,2.86093,2.34137,0.00145246,0.00145246,0.00145246
15,17.3523,2.00433,2.65075,1.8374,0.19523,0.24999,0.11822,0.04062,2.37969,2.90404,2.24299,0.00143595,0.00143595,0.00143595
16,18.3648,1.9605,2.62068,1.81404,0.17023,0.23706,0.137,0.05493,2.45959,2.72756,2.3229,0.00141945,0.00141945,0.00141945
17,19.3941,1.95205,2.61616,1.84044,0.13618,0.25104,0.13827,0.04918,2.29656,2.71898,2.21011,0.00140295,0.00140295,0.00140295
18,20.4834,1.94835,2.61922,1.82162,0.19757,0.30849,0.13119,0.05742,2.18978,2.81911,2.12946,0.00138644,0.00138644,0.00138644
19,21.5589,1.87068,2.5373,1.7699,0.17511,0.36128,0.14947,0.0538,2.19053,2.8593,2.16122,0.00136994,0.00136994,0.00136994
20,23.1724,1.89333,2.48622,1.7416,0.21898,0.29141,0.15107,0.0587,2.245,2.61458,2.17456,0.00135344,0.00135344,0.00135344
21,25.0878,1.89224,2.46167,1.75381,0.26385,0.25828,0.14711,0.05684,2.29882,2.95241,2.21402,0.00133693,0.00133693,0.00133693
22,26.6023,1.86218,2.46411,1.73028,0.20318,0.30642,0.17771,0.06197,2.31281,2.68798,2.23212,0.00132043,0.00132043,0.00132043
23,28.7493,1.90169,2.49567,1.73764,0.27552,0.18427,0.13096,0.05495,2.39226,2.97803,2.23168,0.00130393,0.00130393,0.00130393
24,30.5079,1.90636,2.48926,1.76776,0.21023,0.26553,0.146,0.05345,2.20185,2.90846,2.14249,0.00128742,0.00128742,0.00128742
25,31.942,1.84077,2.40541,1.75248,0.18591,0.28675,0.12304,0.04314,2.28174,2.79995,2.11171,0.00127092,0.00127092,0.00127092
26,33.201,1.90818,2.45337,1.75112,0.31649,0.35352,0.1645,0.06135,2.2937,2.65534,2.22609,0.00125442,0.00125442,0.00125442
27,34.6673,1.86915,2.47044,1.74559,0.18394,0.29607,0.12057,0.04631,2.55703,3.08044,2.277,0.00123791,0.00123791,0.00123791
28,36.2582,1.86007,2.48262,1.76117,0.18898,0.28571,0.15983,0.06458,2.18013,2.64936,2.16768,0.00122141,0.00122141,0.00122141
29,38.7717,1.80667,2.46121,1.71887,0.20721,0.28002,0.14409,0.05642,2.25723,2.64377,2.1769,0.00120491,0.00120491,0.00120491
30,40.9052,1.80028,2.3933,1.72901,0.18456,0.31573,0.12419,0.05016,2.31978,2.64207,2.23149,0.0011884,0.0011884,0.0011884
31,42.3196,1.81624,2.3323,1.70907,0.16057,0.30176,0.12596,0.05236,2.37608,2.81644,2.20113,0.0011719,0.0011719,0.0011719
32,44.1196,1.79391,2.34302,1.6674,0.19621,0.33282,0.16832,0.06979,2.11471,2.51857,2.08272,0.0011554,0.0011554,0.0011554
33,48.1534,1.74545,2.2499,1.62296,0.16753,0.31056,0.15133,0.06366,2.20572,2.6411,2.15374,0.00113889,0.00113889,0.00113889
34,50.3068,1.7286,2.28392,1.62671,0.17762,0.31366,0.14737,0.05252,2.25673,2.58506,2.18465,0.00112239,0.00112239,0.00112239
35,52.5482,1.80802,2.34519,1.71729,0.23745,0.3499,0.1724,0.06999,2.1949,2.56706,2.15841,0.00110589,0.00110589,0.00110589
36,55.8032,1.73525,2.31436,1.64071,0.20995,0.30642,0.16648,0.06965,2.21147,2.52777,2.14073,0.00108938,0.00108938,0.00108938
37,58.0504,1.67847,2.27005,1.62423,0.20812,0.30435,0.15519,0.06657,2.09786,2.60453,2.14258,0.00107288,0.00107288,0.00107288
38,60.3404,1.74019,2.302,1.6834,0.18675,0.28986,0.14982,0.06023,2.11389,2.55197,2.07689,0.00105638,0.00105638,0.00105638
39,62.6039,1.70877,2.29087,1.64629,0.19758,0.29451,0.18523,0.07361,2.12153,2.46239,2.02896,0.00103987,0.00103987,0.00103987
40,65.7619,1.70239,2.27042,1.63159,0.21334,0.25104,0.16815,0.07079,2.22892,2.70612,2.12709,0.00102337,0.00102337,0.00102337
41,67.4744,1.70363,2.2717,1.62089,0.25541,0.31832,0.20539,0.08318,2.15765,2.57067,2.05796,0.00100687,0.00100687,0.00100687
42,69.567,1.71167,2.23663,1.59389,0.23779,0.31884,0.19229,0.07438,2.18062,2.41905,2.12201,0.000990365,0.000990365,0.000990365
43,71.1449,1.6821,2.2223,1.61741,0.22534,0.3794,0.20012,0.08491,2.18386,2.52382,2.14183,0.000973861,0.000973861,0.000973861
44,73.4532,1.70596,2.25202,1.62841,0.25334,0.43427,0.23921,0.0959,2.0967,2.40238,2.10762,0.000957358,0.000957358,0.000957358
45,75.6494,1.66667,2.18363,1.61443,0.2595,0.29658,0.15599,0.06566,2.24962,2.69786,2.16689,0.000940855,0.000940855,0.000940855
46,77.0574,1.67227,2.23026,1.63563,0.22173,0.3354,0.1877,0.07329,2.31392,2.44314,2.24628,0.000924352,0.000924352,0.000924352
47,78.6543,1.68417,2.17422,1.61053,0.21981,0.31625,0.16983,0.07154,2.08538,2.38549,2.06572,0.000907848,0.000907848,0.000907848
48,79.8417,1.63432,2.16589,1.58765,0.1622,0.26346,0.1284,0.05186,2.29593,2.80163,2.19852,0.000891345,0.000891345,0.000891345
49,81.3189,1.61223,2.13147,1.56724,0.26966,0.36128,0.19013,0.07687,2.16455,2.47372,2.10977,0.000874842,0.000874842,0.000874842
50,82.7974,1.60884,2.11273,1.54685,0.23108,0.24886,0.15413,0.06314,2.14715,2.61148,2.10473,0.000858338,0.000858338,0.000858338
51,84.4125,1.6776,2.17115,1.60187,0.28731,0.41667,0.19979,0.08805,2.09764,2.37346,2.10313,0.000841835,0.000841835,0.000841835
52,86.505,1.59631,2.08309,1.54922,0.2499,0.35663,0.17446,0.08569,2.08205,2.40515,2.08322,0.000825332,0.000825332,0.000825332
53,88.4375,1.61132,2.08228,1.53166,0.24682,0.30246,0.18478,0.08141,2.12803,2.4382,2.1803,0.000808828,0.000808828,0.000808828
54,90.7519,1.56648,2.02639,1.54452,0.24217,0.25621,0.14208,0.06367,2.21457,2.58881,2.18017,0.000792325,0.000792325,0.000792325
55,93.103,1.53882,2.10793,1.54655,0.18795,0.33578,0.13195,0.05832,2.13612,2.62132,2.15929,0.000775822,0.000775822,0.000775822
56,95.237,1.59103,2.12155,1.55563,0.18575,0.27014,0.15313,0.06428,2.07302,2.547,1.9987,0.000759318,0.000759318,0.000759318
57,97.2466,1.5803,2.05078,1.53499,0.17344,0.29762,0.13982,0.05711,2.07251,2.51824,2.04234,0.000742815,0.000742815,0.000742815
58,99.7675,1.56608,2.07581,1.52285,0.21433,0.17754,0.12404,0.04529,2.17847,2.78289,2.19528,0.000726312,0.000726312,0.000726312
59,101.351,1.5476,2.01893,1.53758,0.24382,0.3235,0.16808,0.06543,2.07458,2.5004,2.11969,0.000709809,0.000709809,0.000709809
60,102.791,1.53864,2.00821,1.51652,0.222,0.27019,0.15839,0.06523,2.05768,2.63509,2.08775,0.000693305,0.000693305,0.000693305
61,105.104,1.5444,2.00744,1.51806,0.18716,0.33747,0.13903,0.05097,2.36304,2.75763,2.24098,0.000676802,0.000676802,0.000676802
62,107.63,1.5244,1.95498,1.48874,0.21267,0.2883,0.17692,0.07288,2.08587,2.49595,2.15184,0.000660299,0.000660299,0.000660299
63,109.046,1.51961,1.97846,1.50803,0.20436,0.34607,0.19498,0.07394,2.10281,2.40762,2.12489,0.000643795,0.000643795,0.000643795
64,110.582,1.55111,1.94335,1.49657,0.22096,0.36492,0.18094,0.06874,2.10599,2.48676,2.15512,0.000627292,0.000627292,0.000627292
65,112.505,1.53326,1.9675,1.48648,0.23113,0.23188,0.13505,0.0532,2.16989,2.75189,2.2087,0.000610789,0.000610789,0.000610789
66,114.686,1.52975,1.93821,1.48527,0.20804,0.27277,0.13655,0.0503,2.25769,2.86863,2.15458,0.000594286,0.000594286,0.000594286
67,116.363,1.46793,1.88632,1.46336,0.20271,0.34576,0.16266,0.07061,2.18857,2.48964,2.16346,0.000577782,0.000577782,0.000577782
68,118.539,1.47412,1.87844,1.44784,0.24124,0.30952,0.17064,0.07418,2.07068,2.52523,2.13986,0.000561279,0.000561279,0.000561279
69,120.788,1.47325,1.90815,1.46177,0.1576,0.24482,0.12269,0.0437,2.14868,2.729,2.13108,0.000544776,0.000544776,0.000544776
70,123.047,1.48348,1.94819,1.49323,0.25244,0.37629,0.17788,0.06648,2.13673,2.4975,2.18704,0.000528272,0.000528272,0.000528272
71,124.446,1.4434,1.88044,1.48122,0.20849,0.34931,0.17508,0.06676,2.18883,2.59666,2.20934,0.000511769,0.000511769,0.000511769
72,125.931,1.45688,1.83754,1.4615,0.21389,0.37422,0.18492,0.075,2.17519,2.49775,2.16976,0.000495266,0.000495266,0.000495266
73,128.436,1.47702,1.88455,1.51202,0.2438,0.3411,0.18877,0.071,2.09257,2.44114,2.12151,0.000478762,0.000478762,0.000478762
74,129.429,1.40212,1.76762,1.43706,0.28513,0.31884,0.19809,0.07364,2.13262,2.47392,2.17075,0.000462259,0.000462259,0.000462259
75,130.435,1.42849,1.84012,1.45411,0.22782,0.31418,0.16644,0.07351,2.09417,2.46052,2.15801,0.000445756,0.000445756,0.000445756
76,131.434,1.45014,1.79609,1.44,0.24856,0.31004,0.17769,0.06829,2.05647,2.53342,2.16371,0.000429253,0.000429253,0.000429253
77,132.438,1.39959,1.77209,1.41899,0.25795,0.29762,0.20342,0.09153,2.04018,2.45925,2.10757,0.000412749,0.000412749,0.000412749
78,133.443,1.40687,1.80856,1.44198,0.24216,0.34731,0.21519,0.08453,2.09596,2.55601,2.11586,0.000396246,0.000396246,0.000396246
79,134.438,1.46612,1.81571,1.46325,0.21707,0.37112,0.18568,0.07429,2.12903,2.69277,2.0966,0.000379743,0.000379743,0.000379743
80,135.426,1.426,1.75991,1.44043,0.26279,0.38561,0.18547,0.07806,2.13827,2.51395,2.09789,0.000363239,0.000363239,0.000363239
81,136.426,1.39269,1.79071,1.41987,0.24192,0.39849,0.19408,0.07659,2.13822,2.47501,2.16268,0.000346736,0.000346736,0.000346736
82,137.43,1.3898,1.72621,1.40316,0.24222,0.41387,0.18784,0.08263,2.05252,2.5371,2.11668,0.000330233,0.000330233,0.000330233
83,138.43,1.38996,1.71988,1.4259,0.23086,0.34148,0.18088,0.07549,2.08756,2.51047,2.1269,0.000313729,0.000313729,0.000313729
84,139.429,1.33142,1.67418,1.40016,0.23255,0.3794,0.20082,0.07479,2.18717,2.62179,2.21424,0.000297226,0.000297226,0.000297226
85,140.433,1.34283,1.64682,1.39582,0.20384,0.36749,0.16858,0.06968,2.17841,2.54414,2.24243,0.000280723,0.000280723,0.000280723
86,141.46,1.36981,1.6663,1.39891,0.26966,0.24373,0.17674,0.0703,2.20812,2.58928,2.24314,0.00026422,0.00026422,0.00026422
87,142.464,1.3259,1.62699,1.37383,0.23136,0.30228,0.17291,0.06742,2.21272,2.6296,2.19661,0.000247716,0.000247716,0.000247716
88,143.475,1.32599,1.60642,1.39049,0.26385,0.26398,0.16013,0.05869,2.26756,2.77028,2.23843,0.000231213,0.000231213,0.000231213
89,144.474,1.32698,1.67766,1.38575,0.22163,0.39232,0.18764,0.07473,2.14372,2.56568,2.15578,0.00021471,0.00021471,0.00021471
90,145.471,1.31347,1.62794,1.34855,0.27648,0.40735,0.18617,0.07667,2.20388,2.57213,2.19701,0.000198206,0.000198206,0.000198206
91,146.895,1.38456,1.7406,1.49878,0.25105,0.34909,0.18575,0.07158,2.24983,2.62096,2.25424,0.000181703,0.000181703,0.000181703
92,147.89,1.30698,1.59988,1.44605,0.22811,0.23292,0.1376,0.0557,2.28236,2.71164,2.44319,0.0001652,0.0001652,0.0001652
93,148.869,1.31839,1.60348,1.45909,0.20043,0.25407,0.15204,0.06186,2.22686,2.61283,2.31209,0.000148696,0.000148696,0.000148696
94,149.858,1.25702,1.52064,1.42545,0.2917,0.33799,0.19092,0.07184,2.15518,2.53665,2.16202,0.000132193,0.000132193,0.000132193
95,150.852,1.27923,1.47239,1.42596,0.25705,0.36439,0.1927,0.07774,2.13565,2.4852,2.1548,0.00011569,0.00011569,0.00011569
96,151.853,1.22659,1.45614,1.37755,0.27725,0.37422,0.20963,0.08089,2.17603,2.46295,2.16245,9.91865e-05,9.91865e-05,9.91865e-05
97,152.843,1.25282,1.42965,1.39778,0.2628,0.35248,0.20613,0.08115,2.21796,2.51667,2.17827,8.26832e-05,8.26832e-05,8.26832e-05
98,153.845,1.25818,1.47833,1.39964,0.27463,0.34783,0.19488,0.07858,2.18629,2.56202,2.16074,6.61799e-05,6.61799e-05,6.61799e-05
99,154.846,1.24504,1.42798,1.40989,0.25235,0.41025,0.19278,0.07621,2.144,2.54789,2.13847,4.96766e-05,4.96766e-05,4.96766e-05
100,155.839,1.2638,1.43437,1.41438,0.23839,0.38406,0.1905,0.0807,2.16117,2.52414,2.15202,3.31733e-05,3.31733e-05,3.31733e-05
