epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.67753,1.63306,2.64957,1.53589,0.00574,0.69394,0.11415,0.05819,1.79038,3.38924,1.71592,0.00058,0.00058,0.00058
2,4.16439,1.55523,1.9788,1.44701,0.17434,0.07576,0.04666,0.01689,2.02757,3.223,2.14734,0.00116832,0.00116832,0.00116832
3,5.63638,1.58799,1.93063,1.45391,0.48163,0.24242,0.26331,0.1263,1.85814,2.69246,2.00311,0.00174476,0.00174476,0.00174476
4,7.06755,1.56371,1.84247,1.4423,0.09899,0.23939,0.04896,0.01907,2.03367,5.05643,2.13389,0.0019406,0.0019406,0.0019406
5,8.46817,1.54471,1.75055,1.49367,0.40109,0.38788,0.35958,0.1743,1.83707,2.19664,1.80984,0.0019208,0.0019208,0.0019208
6,9.89323,1.52527,1.61799,1.42979,0.5096,0.46364,0.44351,0.20953,1.90763,1.8178,1.71417,0.001901,0.001901,0.001901
7,11.3186,1.51599,1.52433,1.41721,0.60943,0.44242,0.47437,0.23224,1.72297,1.86513,1.68329,0.0018812,0.0018812,0.0018812
8,12.7402,1.49409,1.61122,1.40394,0.55057,0.40606,0.42303,0.20212,1.93254,2.11874,1.84444,0.0018614,0.0018614,0.0018614
9,14.1346,1.49581,1.51045,1.41446,0.56831,0.45479,0.49182,0.26635,1.65091,1.85485,1.57525,0.0018416,0.0018416,0.0018416
10,15.5567,1.48926,1.42332,1.38518,0.59111,0.5303,0.57011,0.29718,1.6861,1.75919,1.64033,0.0018218,0.0018218,0.0018218
11,16.9703,1.41097,1.37357,1.34977,0.72747,0.51212,0.62392,0.32181,1.64766,1.53472,1.55394,0.001802,0.001802,0.001802
12,18.3891,1.46963,1.41718,1.37057,0.65289,0.54545,0.59989,0.32027,1.55093,1.7123,1.52502,0.0017822,0.0017822,0.0017822
13,19.7744,1.423,1.32353,1.35254,0.69954,0.49091,0.59889,0.3123,1.65691,1.49439,1.5601,0.0017624,0.0017624,0.0017624
14,21.1689,1.42396,1.36707,1.37149,0.63483,0.52727,0.57902,0.32056,1.55453,1.54772,1.51907,0.0017426,0.0017426,0.0017426
15,22.5562,1.37277,1.33465,1.31755,0.67358,0.4815,0.53752,0.29381,1.6133,1.65306,1.48889,0.0017228,0.0017228,0.0017228
16,23.9683,1.40196,1.29904,1.32077,0.65429,0.53636,0.59803,0.33118,1.59548,1.59849,1.49735,0.001703,0.001703,0.001703
17,25.3789,1.39356,1.39313,1.31161,0.72127,0.54242,0.62401,0.34421,1.52675,1.43299,1.458,0.0016832,0.0016832,0.0016832
