epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,62.188,1.14878,0.8943,1.17491,0.75423,0.67885,0.74558,0.44516,1.43782,1.12008,1.37158,0.0011882,0.0011882,0.0011882
43,63.6238,1.13064,0.86195,1.15802,0.7378,0.69697,0.75303,0.44588,1.41601,1.12164,1.37184,0.0011684,0.0011684,0.0011684
44,65.052,1.16233,0.86436,1.17687,0.76993,0.69091,0.74267,0.45127,1.36181,1.15104,1.34769,0.0011486,0.0011486,0.0011486
45,66.4678,1.12661,0.88277,1.16446,0.76574,0.63396,0.7213,0.42585,1.4367,1.19604,1.40199,0.0011288,0.0011288,0.0011288
46,67.8605,1.12084,0.86103,1.14558,0.81818,0.63939,0.7531,0.44267,1.43738,1.12309,1.42949,0.001109,0.001109,0.001109
47,69.2513,1.0959,0.83978,1.14474,0.73849,0.7017,0.75137,0.45978,1.38711,1.30612,1.41012,0.0010892,0.0010892,0.0010892
48,70.6649,1.06949,0.82,1.13401,0.78586,0.63939,0.74054,0.43935,1.41401,1.1656,1.41538,0.0010694,0.0010694,0.0010694
49,72.0585,1.15256,1.06524,1.19062,0.72935,0.66146,0.72365,0.45147,1.42198,1.17137,1.38934,0.0010496,0.0010496,0.0010496
50,73.4588,1.12179,0.92789,1.1983,0.80533,0.65188,0.73342,0.44357,1.46265,1.17367,1.44139,0.0010298,0.0010298,0.0010298
51,74.8509,1.10966,0.83764,1.14777,0.78774,0.67576,0.73203,0.44602,1.40546,1.13668,1.4126,0.00101,0.00101,0.00101
52,76.243,1.076,0.81367,1.12354,0.76252,0.65758,0.73969,0.45506,1.35349,1.08997,1.33678,0.0009902,0.0009902,0.0009902
53,77.6299,1.06958,0.80031,1.12773,0.82981,0.67273,0.76881,0.46679,1.37406,1.04959,1.37558,0.0009704,0.0009704,0.0009704
54,79.0399,1.05949,0.80548,1.13438,0.75376,0.67713,0.73363,0.45715,1.37957,1.11722,1.38394,0.0009506,0.0009506,0.0009506
55,80.4596,1.08997,0.84958,1.11686,0.81565,0.64242,0.74802,0.45891,1.36312,1.09907,1.36521,0.0009308,0.0009308,0.0009308
56,81.9017,1.04645,0.78402,1.11466,0.80892,0.64242,0.75169,0.4594,1.41354,1.08133,1.39348,0.000911,0.000911,0.000911
57,83.2965,1.05587,0.78479,1.13215,0.8064,0.64545,0.7378,0.45096,1.3844,1.13367,1.33928,0.0008912,0.0008912,0.0008912
58,84.6937,1.04851,0.80708,1.12625,0.87736,0.6,0.74742,0.47237,1.34357,1.15875,1.33726,0.0008714,0.0008714,0.0008714
59,86.0948,1.06395,0.77328,1.13429,0.77963,0.68612,0.74793,0.45462,1.40373,1.08302,1.37347,0.0008516,0.0008516,0.0008516
60,87.5046,1.03275,0.80377,1.1146,0.76572,0.69091,0.77372,0.47899,1.39118,1.07273,1.3802,0.0008318,0.0008318,0.0008318
61,88.9107,1.00016,0.72809,1.08757,0.81213,0.66364,0.76762,0.47276,1.37633,1.09723,1.36537,0.000812,0.000812,0.000812
62,90.3476,1.00897,0.74283,1.08729,0.76461,0.70909,0.77261,0.48213,1.34931,1.10981,1.36306,0.0007922,0.0007922,0.0007922
63,91.7438,1.02521,0.71497,1.10369,0.84155,0.62767,0.74471,0.45598,1.38764,1.158,1.37472,0.0007724,0.0007724,0.0007724
64,93.1377,1.0414,0.73449,1.13628,0.77233,0.63333,0.7328,0.46242,1.37341,1.14974,1.37747,0.0007526,0.0007526,0.0007526
65,94.52,1.00925,0.70809,1.12081,0.75588,0.68182,0.74749,0.46695,1.36687,1.08063,1.3672,0.0007328,0.0007328,0.0007328
66,95.9081,0.99314,0.75994,1.10444,0.80218,0.66667,0.75795,0.47695,1.35045,1.04054,1.33375,0.000713,0.000713,0.000713
67,97.297,0.95088,0.68315,1.06332,0.80113,0.6592,0.75914,0.47295,1.34757,1.07472,1.34555,0.0006932,0.0006932,0.0006932
68,98.6889,1.02396,0.74115,1.09399,0.77879,0.66145,0.76476,0.46319,1.39058,1.07686,1.36995,0.0006734,0.0006734,0.0006734
69,100.077,0.96667,0.68156,1.08345,0.86454,0.67691,0.77534,0.47998,1.34287,1.04864,1.35673,0.0006536,0.0006536,0.0006536
70,101.469,0.97778,0.67209,1.06751,0.77126,0.72424,0.79006,0.48864,1.36282,1.03379,1.37267,0.0006338,0.0006338,0.0006338
71,102.88,0.95883,0.68179,1.064,0.77008,0.68182,0.75937,0.46933,1.37918,1.06124,1.36195,0.000614,0.000614,0.000614
72,104.282,0.98079,0.70107,1.07774,0.80479,0.6871,0.785,0.4989,1.32629,1.02829,1.33678,0.0005942,0.0005942,0.0005942
73,105.689,0.92868,0.64768,1.05424,0.8318,0.65936,0.78673,0.49658,1.34198,1.03578,1.33224,0.0005744,0.0005744,0.0005744
74,107.084,0.94153,0.65776,1.07274,0.79505,0.67576,0.76397,0.47476,1.38126,1.07003,1.38768,0.0005546,0.0005546,0.0005546
75,108.462,0.9667,0.68987,1.05293,0.75067,0.6934,0.75937,0.47298,1.34345,1.06874,1.36716,0.0005348,0.0005348,0.0005348
76,109.856,0.93008,0.6365,1.04966,0.75397,0.68722,0.7555,0.47805,1.34475,1.09128,1.33909,0.000515,0.000515,0.000515
77,111.259,0.92888,0.64661,1.04875,0.75764,0.73888,0.79228,0.49402,1.36112,1.03868,1.35893,0.0004952,0.0004952,0.0004952
